Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,4,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,11,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71172,10480739,556031.25,1750763937720.5889,2589,3770.6461538461535,2238,1639.5604395604394,18765,115.32381513099796,8.6712358489361971,-1,-1,100
3,19,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71173,10480995,556039.0625,1750763937728.4014,2590,3772.1025641025635,2239,1640.2930402930401,18765,115.32381513099796,8.6712358489361971,-1,-1,100
4,27,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71174,10481251,556046.875,1750763937736.2139,2591,3773.558974358974,2246,1645.4212454212452,18765,115.32381513099796,8.6712358489361971,-1,-1,100
5,35,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71175,10481507,556054.6875,1750763937744.0264,2589,3770.6461538461535,2243,1643.2234432234432,18765,115.32381513099796,8.6712358489361971,-1,-1,100
6,42,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71176,10481763,556062.5,1750763937751.8389,2590,3772.1025641025635,2242,1642.4908424908424,18765,115.32381513099796,8.6712358489361971,-1,-1,100
7,50,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71177,10482019,556070.3125,1750763937759.6514,2590,3772.1025641025635,2242,1642.4908424908424,18765,115.32381513099796,8.6712358489361971,-1,-1,100
8,58,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71178,10482275,556078.125,1750763937767.4639,2591,3773.558974358974,2247,1646.153846153846,18766,115.25595763459843,8.6763410805222634,-1,-1,100
9,66,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71179,10482531,556085.9375,1750763937775.2764,2589,3770.6461538461535,2243,1643.2234432234432,18765,115.32381513099796,8.6712358489361971,-1,-1,100
10,74,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71180,10482787,556093.75,1750763937783.0889,2590,3772.1025641025635,2242,1642.4908424908424,18766,115.25595763459843,8.6763410805222634,-1,-1,100
11,82,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71181,10483043,556101.5625,1750763937790.9014,2590,3772.1025641025635,2242,1642.4908424908424,18765,115.32381513099796,8.6712358489361971,-1,-1,100
12,89,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71182,10483299,556109.375,1750763937798.7139,2591,3773.558974358974,2247,1646.153846153846,18765,115.32381513099796,8.6712358489361971,-1,-1,100
13,97,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71183,10483555,556117.1875,1750763937806.5264,2589,3770.6461538461535,2243,1643.2234432234432,18765,115.32381513099796,8.6712358489361971,-1,-1,100
14,105,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71184,10483811,556125,1750763937814.3389,2573,3747.3435897435893,2209,1618.3150183150183,18765,115.32381513099796,8.6712358489361971,-1,-1,100
15,113,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71185,10484067,556132.8125,1750763937822.1514,2588,3769.1897435897436,2217,1624.1758241758241,18765,115.32381513099796,8.6712358489361971,-1,-1,100
16,121,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71186,10484323,556140.625,1750763937829.9639,2590,3772.1025641025635,2228,1632.2344322344322,18765,115.32381513099796,8.6712358489361971,-1,-1,100
17,128,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71187,10484579,556148.4375,1750763937837.7764,2588,3769.1897435897436,2228,1632.2344322344322,18765,115.32381513099796,8.6712358489361971,-1,-1,100
18,136,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71188,10484835,556156.25,1750763937845.5889,2588,3769.1897435897436,2227,1631.5018315018315,18765,115.32381513099796,8.6712358489361971,-1,-1,100
19,144,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71189,10485091,556164.0625,1750763937853.4014,2590,3772.1025641025635,2233,1635.8974358974358,18765,115.32381513099796,8.6712358489361971,-1,-1,100
20,152,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71190,10485347,556171.875,1750763937861.2139,2591,3773.558974358974,2242,1642.4908424908424,18765,115.32381513099796,8.6712358489361971,-1,-1,100
21,160,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71191,10485603,556179.6875,1750763937869.0264,2589,3770.6461538461535,2240,1641.0256410256409,18764,115.39175257731961,8.6661306173501291,-1,-1,100
22,168,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71192,10485859,556187.5,1750763937876.8389,2574,3748.7999999999997,2209,1618.3150183150183,18764,115.39175257731961,8.6661306173501291,-1,-1,100
23,175,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71193,10486115,556195.3125,1750763937884.6514,2589,3770.6461538461535,2223,1628.5714285714284,18765,115.32381513099796,8.6712358489361971,-1,-1,100
24,183,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71194,10486371,556203.125,1750763937892.4639,2590,3772.1025641025635,2231,1634.4322344322343,18764,115.39175257731961,8.6661306173501291,-1,-1,100
25,191,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71195,10486627,556210.9375,1750763937900.2764,2589,3770.6461538461535,2234,1636.6300366300366,18764,115.39175257731961,8.6661306173501291,-1,-1,100
26,199,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71196,10486883,556218.75,1750763937908.0889,2589,3770.6461538461535,2236,1638.0952380952381,18764,115.39175257731961,8.6661306173501291,-1,-1,100
27,207,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71197,10487139,556226.5625,1750763937915.9014,2589,3770.6461538461535,2237,1638.8278388278386,18764,115.39175257731961,8.6661306173501291,-1,-1,100
28,214,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71198,10487395,556234.375,1750763937923.7139,2590,3772.1025641025635,2239,1640.2930402930401,18764,115.39175257731961,8.6661306173501291,-1,-1,100
29,222,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71199,10487651,556242.1875,1750763937931.5264,2589,3770.6461538461535,2239,1640.2930402930401,18764,115.39175257731961,8.6661306173501291,-1,-1,100
30,230,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71200,10487907,556250,1750763937939.3389,2590,3772.1025641025635,2240,1641.0256410256409,18764,115.39175257731961,8.6661306173501291,-1,-1,100
31,238,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71201,10488163,556257.8125,1750763937947.1514,2590,3772.1025641025635,2240,1641.0256410256409,18764,115.39175257731961,8.6661306173501291,-1,-1,100
32,246,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71202,10488419,556265.625,1750763937954.9639,2590,3772.1025641025635,2241,1641.7582417582416,18764,115.39175257731961,8.6661306173501291,-1,-1,100
33,253,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71203,10488675,556273.4375,1750763937962.7764,2589,3770.6461538461535,2240,1641.0256410256409,18764,115.39175257731961,8.6661306173501291,-1,-1,100
34,261,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71204,10488931,556281.25,1750763937970.5889,2570,3742.9743589743589,2200,1611.7216117216117,18764,115.39175257731961,8.6661306173501291,-1,-1,100
35,269,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71205,10489187,556289.0625,1750763937978.4014,2590,3772.1025641025635,2219,1625.6410256410256,18764,115.39175257731961,8.6661306173501291,-1,-1,100
36,277,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71206,10489443,556296.875,1750763937986.2139,2590,3772.1025641025635,2229,1632.9670329670328,18764,115.39175257731961,8.6661306173501291,-1,-1,100
37,285,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71207,10489699,556304.6875,1750763937994.0264,2589,3770.6461538461535,2233,1635.8974358974358,18764,115.39175257731961,8.6661306173501291,-1,-1,100
38,292,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71208,10489955,556312.5,1750763938001.8389,2574,3748.7999999999997,2205,1615.3846153846152,18763,115.45977011494254,8.6610253857640611,-1,-1,100
39,300,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71209,10490211,556320.3125,1750763938009.6514,2590,3772.1025641025635,2222,1627.8388278388277,18763,115.45977011494254,8.6610253857640611,-1,-1,100
40,308,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71210,10490467,556328.125,1750763938017.4639,2590,3772.1025641025635,2230,1633.6996336996335,18763,115.45977011494254,8.6610253857640611,-1,-1,100
41,316,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71211,10490723,556335.9375,1750763938025.2764,2589,3770.6461538461535,2234,1636.6300366300366,18764,115.39175257731961,8.6661306173501291,-1,-1,100
42,324,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71212,10490979,556343.75,1750763938033.0889,2589,3770.6461538461535,2236,1638.0952380952381,18764,115.39175257731961,8.6661306173501291,-1,-1,100
43,332,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71213,10491235,556351.5625,1750763938040.9014,2589,3770.6461538461535,2237,1638.8278388278386,18763,115.45977011494254,8.6610253857640611,-1,-1,100
44,339,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71214,10491491,556359.375,1750763938048.7139,2590,3772.1025641025635,2239,1640.2930402930401,18764,115.39175257731961,8.6661306173501291,-1,-1,100
45,347,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71215,10491747,556367.1875,1750763938056.5264,2589,3770.6461538461535,2239,1640.2930402930401,18763,115.45977011494254,8.6610253857640611,-1,-1,100
46,355,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71216,10492003,556375,1750763938064.3389,2575,3750.2564102564102,2213,1621.2454212454211,18763,115.45977011494254,8.6610253857640611,-1,-1,100
47,363,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71217,10492259,556382.8125,1750763938072.1514,2590,3772.1025641025635,2226,1630.7692307692307,18763,115.45977011494254,8.6610253857640611,-1,-1,100
48,371,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71218,10492515,556390.625,1750763938079.9639,2590,3772.1025641025635,2233,1635.8974358974358,18763,115.45977011494254,8.6610253857640611,-1,-1,100
49,378,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71219,10492771,556398.4375,1750763938087.7764,2589,3770.6461538461535,2236,1638.0952380952381,18763,115.45977011494254,8.6610253857640611,-1,-1,100
50,386,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71220,10493027,556406.25,1750763938095.5889,2590,3772.1025641025635,2238,1639.5604395604394,18763,115.45977011494254,8.6610253857640611,-1,-1,100
51,394,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71221,10493283,556414.0625,1750763938103.4014,2590,3772.1025641025635,2239,1640.2930402930401,18762,115.5278678855795,8.6559201541779931,-1,-1,100
52,402,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71222,10493539,556421.875,1750763938111.2139,2590,3772.1025641025635,2240,1641.0256410256409,18763,115.45977011494254,8.6610253857640611,-1,-1,100
53,410,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71223,10493795,556429.6875,1750763938119.0264,2589,3770.6461538461535,2240,1641.0256410256409,18763,115.45977011494254,8.6610253857640611,-1,-1,100
54,418,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71224,10494051,556437.5,1750763938126.8389,2590,3772.1025641025635,2240,1641.0256410256409,18763,115.45977011494254,8.6610253857640611,-1,-1,100
55,425,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71225,10494307,556445.3125,1750763938134.6514,2590,3772.1025641025635,2241,1641.7582417582416,18762,115.5278678855795,8.6559201541779931,-1,-1,100
56,433,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71226,10494563,556453.125,1750763938142.4639,2590,3772.1025641025635,2240,1641.0256410256409,18762,115.5278678855795,8.6559201541779931,-1,-1,100
57,441,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71227,10494819,556460.9375,1750763938150.2764,2589,3770.6461538461535,2240,1641.0256410256409,18762,115.5278678855795,8.6559201541779931,-1,-1,100
58,449,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71228,10495075,556468.75,1750763938158.0889,2589,3770.6461538461535,2240,1641.0256410256409,18762,115.5278678855795,8.6559201541779931,-1,-1,100
59,457,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71229,10495331,556476.5625,1750763938165.9014,2590,3772.1025641025635,2240,1641.0256410256409,18762,115.5278678855795,8.6559201541779931,-1,-1,100
60,464,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71230,10495587,556484.375,1750763938173.7139,2590,3772.1025641025635,2240,1641.0256410256409,18762,115.5278678855795,8.6559201541779931,-1,-1,100
61,472,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71231,10495843,556492.1875,1750763938181.5264,2589,3770.6461538461535,2240,1641.0256410256409,18762,115.5278678855795,8.6559201541779931,-1,-1,100
62,480,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71232,10496099,556500,1750763938189.3389,2575,3750.2564102564102,2214,1621.9780219780218,18762,115.5278678855795,8.6559201541779931,-1,-1,100
63,488,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71233,10496355,556507.8125,1750763938197.1514,2589,3770.6461538461535,2225,1630.03663003663,18762,115.5278678855795,8.6559201541779931,-1,-1,100
64,496,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71234,10496611,556515.625,1750763938204.9639,2590,3772.1025641025635,2233,1635.8974358974358,18762,115.5278678855795,8.6559201541779931,-1,-1,100
65,503,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71235,10496867,556523.4375,1750763938212.7764,2589,3770.6461538461535,2235,1637.3626373626373,18761,115.59604603127767,8.6508149225919269,-1,-1,100
66,511,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71236,10497123,556531.25,1750763938220.5889,2575,3750.2564102564102,2212,1620.5128205128203,18761,115.59604603127767,8.6508149225919269,-1,-1,100
67,519,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71237,10497379,556539.0625,1750763938228.4014,2590,3772.1025641025635,2225,1630.03663003663,18761,115.59604603127767,8.6508149225919269,-1,-1,100
68,527,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71238,10497635,556546.875,1750763938236.2139,2591,3773.558974358974,2238,1639.5604395604394,18761,115.59604603127767,8.6508149225919269,-1,-1,100
69,535,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71239,10497891,556554.6875,1750763938244.0264,2589,3770.6461538461535,2238,1639.5604395604394,18761,115.59604603127767,8.6508149225919269,-1,-1,100
70,542,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71240,10498147,556562.5,1750763938251.8389,2576,3751.7128205128201,2209,1618.3150183150183,18761,115.59604603127767,8.6508149225919269,-1,-1,100
71,550,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71241,10498403,556570.3125,1750763938259.6514,2589,3770.6461538461535,2223,1628.5714285714284,18761,115.59604603127767,8.6508149225919269,-1,-1,100
72,558,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71242,10498659,556578.125,1750763938267.4639,2590,3772.1025641025635,2231,1634.4322344322343,18761,115.59604603127767,8.6508149225919269,-1,-1,100
73,566,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71243,10498915,556585.9375,1750763938275.2764,2589,3770.6461538461535,2234,1636.6300366300366,18761,115.59604603127767,8.6508149225919269,-1,-1,100
74,574,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71244,10499171,556593.75,1750763938283.0889,2589,3770.6461538461535,2236,1638.0952380952381,18761,115.59604603127767,8.6508149225919269,-1,-1,100
75,582,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71245,10499427,556601.5625,1750763938290.9014,2590,3772.1025641025635,2238,1639.5604395604394,18761,115.59604603127767,8.6508149225919269,-1,-1,100
76,589,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71246,10499683,556609.375,1750763938298.7139,2590,3772.1025641025635,2240,1641.0256410256409,18761,115.59604603127767,8.6508149225919269,-1,-1,100
77,597,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71247,10499939,556617.1875,1750763938306.5264,2589,3770.6461538461535,2240,1641.0256410256409,18761,115.59604603127767,8.6508149225919269,-1,-1,100
78,605,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71248,10500195,556625,1750763938314.3389,2575,3750.2564102564102,2214,1621.9780219780218,18761,115.59604603127767,8.6508149225919269,-1,-1,100
79,613,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71249,10500451,556632.8125,1750763938322.1514,2589,3770.6461538461535,2225,1630.03663003663,18760,115.66430469441984,8.6457096910058588,-1,-1,100
80,621,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71250,10500707,556640.625,1750763938329.9639,2590,3772.1025641025635,2232,1635.164835164835,18760,115.66430469441984,8.6457096910058588,-1,-1,100
81,628,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71251,10500963,556648.4375,1750763938337.7764,2590,3772.1025641025635,2236,1638.0952380952381,18760,115.66430469441984,8.6457096910058588,-1,-1,100
82,636,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71252,10501219,556656.25,1750763938345.5889,2576,3751.7128205128201,2208,1617.5824175824175,18760,115.66430469441984,8.6457096910058588,-1,-1,100
83,644,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71253,10501475,556664.0625,1750763938353.4014,2590,3772.1025641025635,2223,1628.5714285714284,18760,115.66430469441984,8.6457096910058588,-1,-1,100
84,652,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71254,10501731,556671.875,1750763938361.2139,2589,3770.6461538461535,2230,1633.6996336996335,18760,115.66430469441984,8.6457096910058588,-1,-1,100
85,660,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71255,10501987,556679.6875,1750763938369.0264,2589,3770.6461538461535,2234,1636.6300366300366,18759,115.73264401772525,8.6406044594197926,-1,-1,100
86,668,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71256,10502243,556687.5,1750763938376.8389,2590,3772.1025641025635,2237,1638.8278388278386,18760,115.66430469441984,8.6457096910058588,-1,-1,100
87,675,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71257,10502499,556695.3125,1750763938384.6514,2589,3770.6461538461535,2238,1639.5604395604394,18759,115.73264401772525,8.6406044594197926,-1,-1,100
88,676,SlideEvents,StartMedia,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
89,683,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71258,10502755,556703.125,1750763938392.4639,2590,3772.1025641025635,2240,1641.0256410256409,18759,115.73264401772525,8.6406044594197926,-1,-1,100
90,691,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71259,10503011,556710.9375,1750763938400.2764,2589,3770.6461538461535,2239,1640.2930402930401,18759,115.73264401772525,8.6406044594197926,-1,-1,100
91,699,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71260,10503267,556718.75,1750763938408.0889,2590,3772.1025641025635,2240,1641.0256410256409,18759,115.73264401772525,8.6406044594197926,-1,-1,100
92,707,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71261,10503523,556726.5625,1750763938415.9014,2588,3769.1897435897436,2234,1636.6300366300366,18759,115.73264401772525,8.6406044594197926,-1,-1,100
93,714,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71262,10503779,556734.375,1750763938423.7139,2590,3772.1025641025635,2237,1638.8278388278386,18759,115.73264401772525,8.6406044594197926,-1,-1,100
94,722,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71263,10504035,556742.1875,1750763938431.5264,2589,3770.6461538461535,2237,1638.8278388278386,18759,115.73264401772525,8.6406044594197926,-1,-1,100
95,730,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71264,10504291,556750,1750763938439.3389,2577,3753.1692307692306,2214,1621.9780219780218,18759,115.73264401772525,8.6406044594197926,-1,-1,100
96,738,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71265,10504547,556757.8125,1750763938447.1514,2589,3770.6461538461535,2225,1630.03663003663,18759,115.73264401772525,8.6406044594197926,-1,-1,100
97,746,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71266,10504803,556765.625,1750763938454.9639,2590,3772.1025641025635,2233,1635.8974358974358,18759,115.73264401772525,8.6406044594197926,-1,-1,100
98,753,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71267,10505059,556773.4375,1750763938462.7764,2589,3770.6461538461535,2235,1637.3626373626373,18759,115.73264401772525,8.6406044594197926,-1,-1,100
99,761,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71268,10505315,556781.25,1750763938470.5889,2590,3772.1025641025635,2238,1639.5604395604394,18758,115.80106414425069,8.635499227833721,-1,-1,100
100,769,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71269,10505571,556789.0625,1750763938478.4014,2590,3772.1025641025635,2239,1640.2930402930401,18759,115.73264401772525,8.6406044594197926,-1,-1,100
101,777,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71270,10505827,556796.875,1750763938486.2139,2590,3772.1025641025635,2240,1641.0256410256409,18758,115.80106414425069,8.635499227833721,-1,-1,100
102,785,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71271,10506083,556804.6875,1750763938494.0264,2589,3770.6461538461535,2239,1640.2930402930401,18758,115.80106414425069,8.635499227833721,-1,-1,100
103,792,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71272,10506339,556812.5,1750763938501.8389,2577,3753.1692307692306,2216,1623.4432234432234,18758,115.80106414425069,8.635499227833721,-1,-1,100
104,800,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71273,10506595,556820.3125,1750763938509.6514,2590,3772.1025641025635,2227,1631.5018315018315,18758,115.80106414425069,8.635499227833721,-1,-1,100
105,808,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71274,10506851,556828.125,1750763938517.4639,2590,3772.1025641025635,2234,1636.6300366300366,18758,115.80106414425069,8.635499227833721,-1,-1,100
106,816,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71275,10507107,556835.9375,1750763938525.2764,2589,3770.6461538461535,2236,1638.0952380952381,18758,115.80106414425069,8.635499227833721,-1,-1,100
107,824,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71276,10507363,556843.75,1750763938533.0889,2577,3753.1692307692306,2213,1621.2454212454211,18758,115.80106414425069,8.635499227833721,-1,-1,100
108,832,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71277,10507619,556851.5625,1750763938540.9014,2590,3772.1025641025635,2226,1630.7692307692307,18758,115.80106414425069,8.635499227833721,-1,-1,100
109,839,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71278,10507875,556859.375,1750763938548.7139,2590,3772.1025641025635,2233,1635.8974358974358,18757,115.86956521739133,8.6303939962476548,-1,-1,100
110,847,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71279,10508131,556867.1875,1750763938556.5264,2589,3770.6461538461535,2235,1637.3626373626373,18757,115.86956521739133,8.6303939962476548,-1,-1,100
111,855,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71280,10508387,556875,1750763938564.3389,2590,3772.1025641025635,2238,1639.5604395604394,18757,115.86956521739133,8.6303939962476548,-1,-1,100
112,863,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71281,10508643,556882.8125,1750763938572.1514,2589,3770.6461538461535,2238,1639.5604395604394,18758,115.80106414425069,8.635499227833721,-1,-1,100
113,871,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71282,10508899,556890.625,1750763938579.9639,2590,3772.1025641025635,2240,1641.0256410256409,18757,115.86956521739133,8.6303939962476548,-1,-1,100
114,878,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71283,10509155,556898.4375,1750763938587.7764,2589,3770.6461538461535,2239,1640.2930402930401,18757,115.86956521739133,8.6303939962476548,-1,-1,100
115,886,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71284,10509411,556906.25,1750763938595.5889,2578,3754.625641025641,2216,1623.4432234432234,18757,115.86956521739133,8.6303939962476548,-1,-1,100
116,894,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71285,10509667,556914.0625,1750763938603.4014,2590,3772.1025641025635,2228,1632.2344322344322,18756,115.93814738088193,8.625288764661585,-1,-1,100
117,902,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71286,10509923,556921.875,1750763938611.2139,2590,3772.1025641025635,2234,1636.6300366300366,18756,115.93814738088193,8.625288764661585,-1,-1,100
118,910,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71287,10510179,556929.6875,1750763938619.0264,2589,3770.6461538461535,2236,1638.0952380952381,18756,115.93814738088193,8.625288764661585,-1,-1,100
119,918,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71288,10510435,556937.5,1750763938626.8389,2578,3754.625641025641,2215,1622.7106227106226,18756,115.93814738088193,8.625288764661585,-1,-1,100
120,925,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71289,10510691,556945.3125,1750763938634.6514,2590,3772.1025641025635,2227,1631.5018315018315,18757,115.86956521739133,8.6303939962476548,-1,-1,100
121,933,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71290,10510947,556953.125,1750763938642.4639,2590,3772.1025641025635,2233,1635.8974358974358,18756,115.93814738088193,8.625288764661585,-1,-1,100
122,941,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71291,10511203,556960.9375,1750763938650.2764,2589,3770.6461538461535,2236,1638.0952380952381,18756,115.93814738088193,8.625288764661585,-1,-1,100
123,949,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71292,10511459,556968.75,1750763938658.0889,2589,3770.6461538461535,2237,1638.8278388278386,18756,115.93814738088193,8.625288764661585,187,320.3125,100
124,957,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71293,10511715,556976.5625,1750763938665.9014,2589,3770.6461538461535,2238,1639.5604395604394,18756,115.93814738088193,8.625288764661585,187,-1,100
125,959,,,,,,,Bluetooth Low Energy Polar Verity Sense E990B025 HeartRate,93,0,-1,-1,,,,,,,,,,,,,,,
126,964,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71294,10511971,556984.375,1750763938673.7139,2590,3772.1025641025635,2239,1640.2930402930401,18756,115.93814738088193,8.625288764661585,187,-1,100
127,972,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71295,10512227,556992.1875,1750763938681.5264,2589,3770.6461538461535,2239,1640.2930402930401,18756,115.93814738088193,8.625288764661585,187,-1,100
128,980,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71296,10512483,557000,1750763938689.3389,2590,3772.1025641025635,2240,1641.0256410256409,18756,115.93814738088193,8.625288764661585,187,-1,100
129,988,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71297,10512739,557007.8125,1750763938697.1514,2589,3770.6461538461535,2239,1640.2930402930401,18756,115.93814738088193,8.625288764661585,187,-1,100
130,996,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71298,10512995,557015.625,1750763938704.9639,2583,3761.9076923076918,2230,1633.6996336996335,18756,115.93814738088193,8.625288764661585,187,-1,100
131,1003,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,71299,10513251,557023.4375,1750763938712.7764,2589,3770.6461538461535,2234,1636.6300366300366,18756,115.93814738088193,8.625288764661585,187,-1,100
