Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,3,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,4,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422582,8830603,3301421.875,1751016956711.4563,2545,3706.5641025641021,2502,1832.9670329670328,1203,52.711815561959675,18.971078672571203,-1,-1,99
3,12,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422583,8830859,3301429.6875,1751016956719.2688,2527,3680.3487179487179,2477,1814.6520146520145,1203,52.711815561959675,18.971078672571203,-1,-1,99
4,20,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422584,8831115,3301437.5,1751016956727.0813,2546,3708.0205128205125,2491,1824.9084249084249,1203,52.711815561959675,18.971078672571203,-1,-1,99
5,27,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422585,8831371,3301445.3125,1751016956734.8938,2546,3708.0205128205125,2499,1830.7692307692307,1203,52.711815561959675,18.971078672571203,-1,-1,99
6,35,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422586,8831627,3301453.125,1751016956742.7063,2545,3706.5641025641021,2503,1833.6996336996335,1204,52.610738255033567,19.007526470213037,-1,-1,99
7,43,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422587,8831883,3301460.9375,1751016956750.5188,2527,3680.3487179487179,2477,1814.6520146520145,1204,52.610738255033567,19.007526470213037,-1,-1,99
8,51,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422588,8832139,3301468.75,1751016956758.3313,2546,3708.0205128205125,2492,1825.6410256410254,1204,52.610738255033567,19.007526470213037,-1,-1,99
9,59,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422589,8832395,3301476.5625,1751016956766.1438,2545,3706.5641025641021,2499,1830.7692307692307,1204,52.610738255033567,19.007526470213037,-1,-1,99
10,66,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422590,8832651,3301484.375,1751016956773.9563,2545,3706.5641025641021,2503,1833.6996336996335,1204,52.610738255033567,19.007526470213037,196,304.6875,99
11,74,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422591,8832907,3301492.1875,1751016956781.7688,2527,3680.3487179487179,2477,1814.6520146520145,1204,52.610738255033567,19.007526470213037,196,-1,99
12,82,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422592,8833163,3301500,1751016956789.5813,2545,3706.5641025641021,2491,1824.9084249084249,1206,52.40974212034385,19.080422065496688,196,-1,99
13,90,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422593,8833419,3301507.8125,1751016956797.3938,2545,3706.5641025641021,2498,1830.03663003663,1207,52.309818875119184,19.116869863138511,196,-1,99
14,98,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422594,8833675,3301515.625,1751016956805.2063,2545,3706.5641025641021,2502,1832.9670329670328,1207,52.309818875119184,19.116869863138511,196,-1,99
15,105,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422595,8833931,3301523.4375,1751016956813.0188,2527,3680.3487179487179,2477,1814.6520146520145,1208,52.210275927687924,19.153317660780342,196,-1,99
16,113,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422596,8834187,3301531.25,1751016956820.8313,2545,3706.5641025641021,2491,1824.9084249084249,1208,52.210275927687924,19.153317660780342,196,-1,99
17,121,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422597,8834443,3301539.0625,1751016956828.6438,2545,3706.5641025641021,2498,1830.03663003663,1207,52.309818875119184,19.116869863138511,196,-1,99
18,129,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422598,8834699,3301546.875,1751016956836.4563,2545,3706.5641025641021,2502,1832.9670329670328,1207,52.309818875119184,19.116869863138511,196,-1,99
19,137,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422599,8834955,3301554.6875,1751016956844.2688,2527,3680.3487179487179,2477,1814.6520146520145,1206,52.40974212034385,19.080422065496688,196,-1,99
20,145,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422600,8835211,3301562.5,1751016956852.0813,2546,3708.0205128205125,2491,1824.9084249084249,1206,52.40974212034385,19.080422065496688,196,-1,99
21,152,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422601,8835467,3301570.3125,1751016956859.8938,2546,3708.0205128205125,2499,1830.7692307692307,1206,52.40974212034385,19.080422065496688,196,-1,99
22,160,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422602,8835723,3301578.125,1751016956867.7063,2545,3706.5641025641021,2503,1833.6996336996335,1205,52.510047846889961,19.04397426785486,196,-1,99
23,168,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422603,8835979,3301585.9375,1751016956875.5188,2528,3681.8051282051279,2472,1810.9890109890109,1205,52.510047846889961,19.04397426785486,196,-1,99
24,176,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422604,8836235,3301593.75,1751016956883.3313,2545,3706.5641025641021,2488,1822.7106227106226,1205,52.510047846889961,19.04397426785486,196,-1,99
25,184,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422605,8836491,3301601.5625,1751016956891.1438,2545,3706.5641025641021,2497,1829.3040293040292,1205,52.510047846889961,19.04397426785486,196,-1,99
26,191,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422606,8836747,3301609.375,1751016956898.9563,2544,3705.1076923076921,2497,1829.3040293040292,1205,52.510047846889961,19.04397426785486,196,-1,99
27,199,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422607,8837003,3301617.1875,1751016956906.7688,2527,3680.3487179487179,2474,1812.4542124542124,1205,52.510047846889961,19.04397426785486,196,-1,99
28,207,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422608,8837259,3301625,1751016956914.5813,2545,3706.5641025641021,2489,1823.4432234432234,1205,52.510047846889961,19.04397426785486,196,-1,99
29,215,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422609,8837515,3301632.8125,1751016956922.3938,2545,3706.5641025641021,2498,1830.03663003663,1205,52.510047846889961,19.04397426785486,196,-1,99
30,223,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422610,8837771,3301640.625,1751016956930.2063,2545,3706.5641025641021,2502,1832.9670329670328,1204,52.610738255033567,19.007526470213037,196,-1,99
31,230,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422611,8838027,3301648.4375,1751016956938.0188,2528,3681.8051282051279,2472,1810.9890109890109,1204,52.610738255033567,19.007526470213037,196,-1,99
32,238,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422612,8838283,3301656.25,1751016956945.8313,2545,3706.5641025641021,2488,1822.7106227106226,1204,52.610738255033567,19.007526470213037,196,-1,99
33,246,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422613,8838539,3301664.0625,1751016956953.6438,2546,3708.0205128205125,2497,1829.3040293040292,1203,52.711815561959675,18.971078672571203,196,-1,99
34,254,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422614,8838795,3301671.875,1751016956961.4563,2545,3706.5641025641021,2502,1832.9670329670328,1204,52.610738255033567,19.007526470213037,196,-1,99
35,262,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422615,8839051,3301679.6875,1751016956969.2688,2527,3680.3487179487179,2477,1814.6520146520145,1204,52.610738255033567,19.007526470213037,196,-1,99
36,270,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422616,8839307,3301687.5,1751016956977.0813,2546,3708.0205128205125,2491,1824.9084249084249,1204,52.610738255033567,19.007526470213037,196,-1,99
37,277,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422617,8839563,3301695.3125,1751016956984.8938,2546,3708.0205128205125,2499,1830.7692307692307,1204,52.610738255033567,19.007526470213037,196,-1,99
38,285,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422618,8839819,3301703.125,1751016956992.7063,2545,3706.5641025641021,2503,1833.6996336996335,1204,52.610738255033567,19.007526470213037,196,-1,99
39,293,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422619,8840075,3301710.9375,1751016957000.5188,2527,3680.3487179487179,2477,1814.6520146520145,1203,52.711815561959675,18.971078672571203,196,-1,99
40,301,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422620,8840331,3301718.75,1751016957008.3313,2545,3706.5641025641021,2491,1824.9084249084249,1203,52.711815561959675,18.971078672571203,196,-1,99
41,309,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422621,8840587,3301726.5625,1751016957016.1438,2545,3706.5641025641021,2498,1830.03663003663,1203,52.711815561959675,18.971078672571203,196,-1,99
42,316,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422622,8840843,3301734.375,1751016957023.9563,2545,3706.5641025641021,2502,1832.9670329670328,1203,52.711815561959675,18.971078672571203,196,-1,99
43,324,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422623,8841099,3301742.1875,1751016957031.7688,2527,3680.3487179487179,2477,1814.6520146520145,1204,52.610738255033567,19.007526470213037,196,-1,99
44,332,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422624,8841355,3301750,1751016957039.5813,2546,3708.0205128205125,2491,1824.9084249084249,1204,52.610738255033567,19.007526470213037,196,-1,99
45,340,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422625,8841611,3301757.8125,1751016957047.3938,2546,3708.0205128205125,2499,1830.7692307692307,1205,52.510047846889961,19.04397426785486,196,-1,99
46,348,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422626,8841867,3301765.625,1751016957055.2063,2545,3706.5641025641021,2503,1833.6996336996335,1206,52.40974212034385,19.080422065496688,196,-1,99
47,355,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422627,8842123,3301773.4375,1751016957063.0188,2528,3681.8051282051279,2472,1810.9890109890109,1206,52.40974212034385,19.080422065496688,196,-1,99
48,363,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422628,8842379,3301781.25,1751016957070.8313,2546,3708.0205128205125,2489,1823.4432234432234,1206,52.40974212034385,19.080422065496688,196,-1,99
49,371,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422629,8842635,3301789.0625,1751016957078.6438,2526,3678.8923076923074,2464,1805.1282051282051,1207,52.309818875119184,19.116869863138511,196,-1,99
50,379,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422630,8842891,3301796.875,1751016957086.4563,2544,3705.1076923076921,2479,1816.117216117216,1208,52.210275927687924,19.153317660780342,196,-1,99
51,387,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422631,8843147,3301804.6875,1751016957094.2688,2527,3680.3487179487179,2464,1805.1282051282051,1208,52.210275927687924,19.153317660780342,196,-1,99
52,395,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422632,8843403,3301812.5,1751016957102.0813,2544,3705.1076923076921,2479,1816.117216117216,1209,52.111111111111121,19.189765458422173,196,-1,99
53,402,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422633,8843659,3301820.3125,1751016957109.8938,2545,3706.5641025641021,2491,1824.9084249084249,1210,52.012322274881527,19.226213256064,196,-1,99
54,410,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422634,8843915,3301828.125,1751016957117.7063,2545,3706.5641025641021,2498,1830.03663003663,1211,51.913907284768236,19.26266105370582,196,-1,99
55,418,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422635,8844171,3301835.9375,1751016957125.5188,2527,3680.3487179487179,2475,1813.186813186813,1211,51.913907284768236,19.26266105370582,196,-1,99
56,426,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422636,8844427,3301843.75,1751016957133.3313,2545,3706.5641025641021,2490,1824.1758241758241,1212,51.8158640226629,19.299108851347654,196,-1,99
57,434,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422637,8844683,3301851.5625,1751016957141.1438,2545,3706.5641025641021,2498,1830.03663003663,1212,51.8158640226629,19.299108851347654,196,-1,99
58,441,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422638,8844939,3301859.375,1751016957148.9563,2545,3706.5641025641021,2502,1832.9670329670328,1213,51.718190386427906,19.335556648989481,196,-1,99
59,449,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422639,8845195,3301867.1875,1751016957156.7688,2528,3681.8051282051279,2472,1810.9890109890109,1214,51.620884289746016,19.372004446631305,196,-1,99
60,457,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422640,8845451,3301875,1751016957164.5813,2545,3706.5641025641021,2488,1822.7106227106226,1214,51.620884289746016,19.372004446631305,196,-1,99
61,465,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422641,8845707,3301882.8125,1751016957172.3938,2546,3708.0205128205125,2497,1829.3040293040292,1214,51.620884289746016,19.372004446631305,196,-1,99
62,473,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422642,8845963,3301890.625,1751016957180.2063,2546,3708.0205128205125,2502,1832.9670329670328,1215,51.523943661971842,19.408452244273136,196,-1,99
63,480,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422643,8846219,3301898.4375,1751016957188.0188,2526,3678.8923076923074,2472,1810.9890109890109,1216,51.427366447985015,19.444900041914963,196,-1,99
64,488,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422644,8846475,3301906.25,1751016957195.8313,2545,3706.5641025641021,2488,1822.7106227106226,1216,51.427366447985015,19.444900041914963,196,-1,99
65,496,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422645,8846731,3301914.0625,1751016957203.6438,2545,3706.5641025641021,2497,1829.3040293040292,1217,51.331150608044915,19.48134783955679,196,-1,99
66,504,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422646,8846987,3301921.875,1751016957211.4563,2545,3706.5641025641021,2501,1832.234432234432,1218,51.235294117647072,19.517795637198617,196,-1,99
67,512,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422647,8847243,3301929.6875,1751016957219.2688,2526,3678.8923076923074,2471,1810.2564102564102,1217,51.331150608044915,19.48134783955679,196,-1,99
68,520,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422648,8847499,3301937.5,1751016957227.0813,2545,3706.5641025641021,2488,1822.7106227106226,1211,51.913907284768236,19.26266105370582,196,-1,99
69,527,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422649,8847755,3301945.3125,1751016957234.8938,2545,3706.5641025641021,2496,1828.5714285714284,1178,55.371342078708388,18.05988373152552,196,-1,99
70,535,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422650,8848011,3301953.125,1751016957242.7063,2545,3706.5641025641021,2501,1832.234432234432,1150,58.687700534759379,17.039345397554349,196,-1,99
71,543,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422651,8848267,3301960.9375,1751016957250.5188,2526,3678.8923076923074,2471,1810.2564102564102,1124,62.143827859569662,16.091702658866836,196,-1,99
72,551,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422652,8848523,3301968.75,1751016957258.3313,2545,3706.5641025641021,2488,1822.7106227106226,1064,71.917431192660558,13.904834800357186,196,-1,99
73,559,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422653,8848779,3301976.5625,1751016957266.1438,2545,3706.5641025641021,2498,1830.03663003663,1064,71.917431192660558,13.904834800357186,196,-1,99
74,566,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422654,8849035,3301984.375,1751016957273.9563,2544,3705.1076923076921,2498,1830.03663003663,1064,71.917431192660558,13.904834800357186,196,-1,99
75,574,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422655,8849291,3301992.1875,1751016957281.7688,2527,3680.3487179487179,2474,1812.4542124542124,1064,71.917431192660558,13.904834800357186,196,-1,99
76,582,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422656,8849547,3302000,1751016957289.5813,2544,3705.1076923076921,2484,1819.7802197802196,1064,71.917431192660558,13.904834800357186,196,-1,99
77,590,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422657,8849803,3302007.8125,1751016957297.3938,2545,3706.5641025641021,2494,1827.1062271062269,1064,71.917431192660558,13.904834800357186,196,-1,99
78,598,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422658,8850059,3302015.625,1751016957305.2063,2544,3705.1076923076921,2495,1827.8388278388277,1064,71.917431192660558,13.904834800357186,196,-1,99
79,605,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422659,8850315,3302023.4375,1751016957313.0188,2526,3678.8923076923074,2467,1807.3260073260071,1064,71.917431192660558,13.904834800357186,196,-1,99
80,613,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422660,8850571,3302031.25,1751016957320.8313,2544,3705.1076923076921,2479,1816.117216117216,1064,71.917431192660558,13.904834800357186,196,-1,99
81,621,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422661,8850827,3302039.0625,1751016957328.6438,2546,3708.0205128205125,2492,1825.6410256410254,1064,71.917431192660558,13.904834800357186,196,-1,99
82,629,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422662,8851083,3302046.875,1751016957336.4563,2546,3708.0205128205125,2500,1831.5018315018315,1064,71.917431192660558,13.904834800357186,196,-1,99
83,637,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422663,8851339,3302054.6875,1751016957344.2688,2527,3680.3487179487179,2475,1813.186813186813,17857,247.78937381404177,4.0356855687866142,196,-1,99
84,645,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422664,8851595,3302062.5,1751016957352.0813,2545,3706.5641025641021,2492,1825.6410256410254,17857,247.78937381404177,4.0356855687866142,196,-1,99
85,652,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422665,8851851,3302070.3125,1751016957359.8938,2545,3706.5641025641021,2499,1830.7692307692307,17857,247.78937381404177,4.0356855687866142,-1,-1,99
86,660,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422666,8852107,3302078.125,1751016957367.7063,2543,3703.6512820512821,2503,1833.6996336996335,17857,247.78937381404177,4.0356855687866142,-1,-1,99
87,668,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422667,8852363,3302085.9375,1751016957375.5188,2526,3678.8923076923074,2472,1810.9890109890109,17857,247.78937381404177,4.0356855687866142,-1,-1,99
88,676,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422668,8852619,3302093.75,1751016957383.3313,2544,3705.1076923076921,2483,1819.047619047619,17857,247.78937381404177,4.0356855687866142,-1,-1,99
89,684,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422669,8852875,3302101.5625,1751016957391.1438,2544,3705.1076923076921,2489,1823.4432234432234,17857,247.78937381404177,4.0356855687866142,-1,-1,99
90,691,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422670,8853131,3302109.375,1751016957398.9563,2543,3703.6512820512821,2496,1828.5714285714284,17857,247.78937381404177,4.0356855687866142,-1,-1,99
91,697,SlideEvents,StartMedia,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
92,699,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422671,8853387,3302117.1875,1751016957406.7688,2524,3675.979487179487,2463,1804.3956043956043,17857,247.78937381404177,4.0356855687866142,-1,-1,99
93,707,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422672,8853643,3302125,1751016957414.5813,2544,3705.1076923076921,2478,1815.3846153846152,17857,247.78937381404177,4.0356855687866142,-1,-1,99
94,715,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422673,8853899,3302132.8125,1751016957422.3938,2544,3705.1076923076921,2487,1821.9780219780218,17857,247.78937381404177,4.0356855687866142,-1,-1,99
95,723,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422674,8854155,3302140.625,1751016957430.2063,2543,3703.6512820512821,2495,1827.8388278388277,36829,202.01272754180852,4.9501831501831495,-1,-1,99
96,730,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422675,8854411,3302148.4375,1751016957438.0188,2526,3678.8923076923074,2467,1807.3260073260071,36829,202.01272754180852,4.9501831501831495,-1,-1,99
97,738,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422676,8854667,3302156.25,1751016957445.8313,2544,3705.1076923076921,2479,1816.117216117216,36829,202.01272754180852,4.9501831501831495,-1,-1,99
98,746,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422677,8854923,3302164.0625,1751016957453.6438,2545,3706.5641025641021,2491,1824.9084249084249,36829,202.01272754180852,4.9501831501831495,-1,-1,99
99,754,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422678,8855179,3302171.875,1751016957461.4563,2544,3705.1076923076921,2493,1826.3736263736262,36829,202.01272754180852,4.9501831501831495,-1,-1,99
100,762,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422679,8855435,3302179.6875,1751016957469.2688,2526,3678.8923076923074,2467,1807.3260073260071,36829,202.01272754180852,4.9501831501831495,-1,-1,99
101,770,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422680,8855691,3302187.5,1751016957477.0813,2544,3705.1076923076921,2480,1816.8498168498168,36829,202.01272754180852,4.9501831501831495,-1,-1,99
102,777,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422681,8855947,3302195.3125,1751016957484.8938,2544,3705.1076923076921,2488,1822.7106227106226,36829,202.01272754180852,4.9501831501831495,-1,-1,99
103,785,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422682,8856203,3302203.125,1751016957492.7063,2544,3705.1076923076921,2491,1824.9084249084249,36829,202.01272754180852,4.9501831501831495,-1,-1,99
104,793,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422683,8856459,3302210.9375,1751016957500.5188,2526,3678.8923076923074,2466,1806.5934065934064,36829,202.01272754180852,4.9501831501831495,-1,-1,99
105,801,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422684,8856715,3302218.75,1751016957508.3313,2544,3705.1076923076921,2480,1816.8498168498168,36829,202.01272754180852,4.9501831501831495,-1,-1,99
106,809,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422685,8856971,3302226.5625,1751016957516.1438,2544,3705.1076923076921,2487,1821.9780219780218,20165,63.216879135065369,15.818560069431147,-1,-1,99
107,816,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422686,8857227,3302234.375,1751016957523.9563,2543,3703.6512820512821,2496,1828.5714285714284,20233,61.859308384651818,16.165715817283761,-1,-1,99
108,824,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422687,8857483,3302242.1875,1751016957531.7688,2525,3677.4358974358975,2467,1807.3260073260071,20297,60.633802816901408,16.4924506387921,-1,-1,99
109,832,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422688,8857739,3302250,1751016957539.5813,2544,3705.1076923076921,2481,1817.5824175824175,20349,59.673267326732677,16.757922681267626,-1,-1,99
110,840,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422689,8857995,3302257.8125,1751016957547.3938,2544,3705.1076923076921,2484,1819.7802197802196,20349,59.673267326732677,16.757922681267626,-1,-1,99
111,848,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422690,8858251,3302265.625,1751016957555.2063,2544,3705.1076923076921,2488,1822.7106227106226,20349,59.673267326732677,16.757922681267626,-1,-1,99
112,855,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422691,8858507,3302273.4375,1751016957563.0188,2527,3680.3487179487179,2469,1808.7912087912086,20349,59.673267326732677,16.757922681267626,-1,-1,99
113,863,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422692,8858763,3302281.25,1751016957570.8313,2545,3706.5641025641021,2486,1821.2454212454211,20349,59.673267326732677,16.757922681267626,-1,-1,99
114,871,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422693,8859019,3302289.0625,1751016957578.6438,2545,3706.5641025641021,2495,1827.8388278388277,20349,59.673267326732677,16.757922681267626,-1,-1,99
115,879,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422694,8859275,3302296.875,1751016957586.4563,2545,3706.5641025641021,2501,1832.234432234432,20349,59.673267326732677,16.757922681267626,-1,-1,99
116,887,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422695,8859531,3302304.6875,1751016957594.2688,2526,3678.8923076923074,2471,1810.2564102564102,20349,59.673267326732677,16.757922681267626,-1,-1,99
117,895,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422696,8859787,3302312.5,1751016957602.0813,2545,3706.5641025641021,2487,1821.9780219780218,20349,59.673267326732677,16.757922681267626,-1,-1,99
118,902,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422697,8860043,3302320.3125,1751016957609.8938,2545,3706.5641025641021,2496,1828.5714285714284,20349,59.673267326732677,16.757922681267626,-1,-1,99
119,910,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422698,8860299,3302328.125,1751016957617.7063,2544,3705.1076923076921,2496,1828.5714285714284,20349,59.673267326732677,16.757922681267626,-1,-1,99
120,918,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422699,8860555,3302335.9375,1751016957625.5188,2527,3680.3487179487179,2473,1811.7216117216117,1188,54.275964391691396,18.424361707943799,-1,-1,99
121,926,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422700,8860811,3302343.75,1751016957633.3313,2546,3708.0205128205125,2489,1823.4432234432234,1189,54.168805528134271,18.460809505585619,-1,-1,99
122,934,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422701,8861067,3302351.5625,1751016957641.1438,2546,3708.0205128205125,2498,1830.03663003663,1189,54.168805528134271,18.460809505585619,-1,-1,99
123,941,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422702,8861323,3302359.375,1751016957648.9563,2546,3708.0205128205125,2503,1833.6996336996335,1190,54.062068965517263,18.497257303227446,-1,-1,99
124,949,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422703,8861579,3302367.1875,1751016957656.7688,2528,3681.8051282051279,2473,1811.7216117216117,1191,53.955752212389399,18.533705100869273,-1,-1,99
125,957,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422704,8861835,3302375,1751016957664.5813,2545,3706.5641025641021,2489,1823.4432234432234,1192,53.849852796859672,18.570152898511104,-1,-1,99
126,964,,,,,,,Bluetooth Low Energy Polar Verity Sense E990B025 HeartRate,107,0,-1,-1,,,,,,,,,,,,,,,
127,965,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422705,8862091,3302382.8125,1751016957672.3938,2546,3708.0205128205125,2497,1829.3040293040292,1193,53.744368266405488,18.606600696152935,-1,-1,99
128,973,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422706,8862347,3302390.625,1751016957680.2063,2545,3706.5641025641021,2502,1832.9670329670328,1195,53.534634146341482,18.679496291436582,-1,-1,99
129,980,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422707,8862603,3302398.4375,1751016957688.0188,2527,3680.3487179487179,2477,1814.6520146520145,1195,53.534634146341482,18.679496291436582,-1,-1,99
130,988,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422708,8862859,3302406.25,1751016957695.8313,2546,3708.0205128205125,2491,1824.9084249084249,1196,53.430379746835449,18.715944089078416,-1,-1,99
131,996,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,422709,8863115,3302414.0625,1751016957703.6438,2546,3708.0205128205125,2499,1830.7692307692307,1196,53.430379746835449,18.715944089078416,-1,-1,99
