Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,3,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,9,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259760,490906,2029375,1751027250636.9065,2535,3692,2473,1811.7216117216117,1348,41.226897069872287,24.256009330636189,-1,-1,99
3,16,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259761,491162,2029382.8125,1751027250644.719,2536,3693.45641025641,2470,1809.5238095238094,1348,41.226897069872287,24.256009330636189,-1,-1,99
4,24,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259762,491418,2029390.625,1751027250652.5315,2535,3692,2472,1810.9890109890109,1348,41.226897069872287,24.256009330636189,-1,-1,99
5,32,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259763,491674,2029398.4375,1751027250660.344,2534,3690.5435897435896,2469,1808.7912087912086,1348,41.226897069872287,24.256009330636189,-1,-1,99
6,40,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259764,491930,2029406.25,1751027250668.1565,2536,3693.45641025641,2468,1808.0586080586079,1348,41.226897069872287,24.256009330636189,187,320.3125,99
7,48,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259765,492186,2029414.0625,1751027250675.969,2535,3692,2472,1810.9890109890109,1347,41.288939051918746,24.219561532994366,187,-1,99
8,55,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259766,492442,2029421.875,1751027250683.7815,2536,3693.45641025641,2469,1808.7912087912086,1348,41.226897069872287,24.256009330636189,187,-1,99
9,63,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259767,492698,2029429.6875,1751027250691.594,2534,3690.5435897435896,2467,1807.3260073260071,1347,41.288939051918746,24.219561532994366,187,-1,99
10,71,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259768,492954,2029437.5,1751027250699.4065,2534,3690.5435897435896,2466,1806.5934065934064,1347,41.288939051918746,24.219561532994366,187,-1,99
11,79,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259769,493210,2029445.3125,1751027250707.219,2535,3692,2470,1809.5238095238094,1346,41.351168048229098,24.183113735352535,187,-1,99
12,87,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259770,493466,2029453.125,1751027250715.0315,2535,3692,2472,1810.9890109890109,1347,41.288939051918746,24.219561532994366,187,-1,99
13,95,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259771,493722,2029460.9375,1751027250722.844,2534,3690.5435897435896,2469,1808.7912087912086,1346,41.351168048229098,24.183113735352535,187,-1,99
14,102,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259772,493978,2029468.75,1751027250730.6565,2534,3690.5435897435896,2467,1807.3260073260071,1346,41.351168048229098,24.183113735352535,187,-1,99
15,110,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259773,494234,2029476.5625,1751027250738.469,2536,3693.45641025641,2467,1807.3260073260071,1346,41.351168048229098,24.183113735352535,187,-1,99
16,118,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259774,494490,2029484.375,1751027250746.2815,2535,3692,2471,1810.2564102564102,1346,41.351168048229098,24.183113735352535,187,-1,99
17,126,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259775,494746,2029492.1875,1751027250754.094,2533,3689.0871794871791,2467,1807.3260073260071,1346,41.351168048229098,24.183113735352535,187,-1,99
18,134,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259776,495002,2029500,1751027250761.9065,2535,3692,2471,1810.2564102564102,1345,41.413584905660386,24.146665937710708,187,-1,99
19,141,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259777,495258,2029507.8125,1751027250769.719,2535,3692,2473,1811.7216117216117,1345,41.413584905660386,24.146665937710708,187,-1,99
20,149,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259778,495514,2029515.625,1751027250777.5315,2535,3692,2474,1812.4542124542124,1345,41.413584905660386,24.146665937710708,187,-1,99
21,157,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259779,495770,2029523.4375,1751027250785.344,2534,3690.5435897435896,2470,1809.5238095238094,1345,41.413584905660386,24.146665937710708,187,-1,99
22,165,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259780,496026,2029531.25,1751027250793.1565,2536,3693.45641025641,2468,1808.0586080586079,1344,41.476190476190482,24.110218140068884,187,-1,99
23,173,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259781,496282,2029539.0625,1751027250800.969,2535,3692,2472,1810.9890109890109,1344,41.476190476190482,24.110218140068884,187,-1,99
24,180,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259782,496538,2029546.875,1751027250808.7815,2535,3692,2474,1812.4542124542124,1344,41.476190476190482,24.110218140068884,187,-1,99
25,188,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259783,496794,2029554.6875,1751027250816.594,2534,3690.5435897435896,2470,1809.5238095238094,1344,41.476190476190482,24.110218140068884,187,-1,99
26,196,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259784,497050,2029562.5,1751027250824.4065,2535,3692,2472,1810.9890109890109,1344,41.476190476190482,24.110218140068884,187,-1,99
27,204,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259785,497306,2029570.3125,1751027250832.219,2535,3692,2474,1812.4542124542124,1344,41.476190476190482,24.110218140068884,187,-1,99
28,212,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259786,497562,2029578.125,1751027250840.0315,2536,3693.45641025641,2471,1810.2564102564102,1343,41.538985616956865,24.07377034242705,187,-1,99
29,220,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259787,497818,2029585.9375,1751027250847.844,2533,3689.0871794871791,2467,1807.3260073260071,1343,41.538985616956865,24.07377034242705,187,-1,99
30,227,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259788,498074,2029593.75,1751027250855.6565,2536,3693.45641025641,2467,1807.3260073260071,1343,41.538985616956865,24.07377034242705,187,-1,99
31,235,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259789,498330,2029601.5625,1751027250863.469,2536,3693.45641025641,2466,1806.5934065934064,1343,41.538985616956865,24.07377034242705,187,-1,99
32,243,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259790,498586,2029609.375,1751027250871.2815,2535,3692,2471,1810.2564102564102,1343,41.538985616956865,24.07377034242705,187,-1,99
33,251,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259791,498842,2029617.1875,1751027250879.094,2534,3690.5435897435896,2468,1808.0586080586079,1342,41.601971190295686,24.037322544785226,187,-1,99
34,259,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259792,499098,2029625,1751027250886.9065,2536,3693.45641025641,2467,1807.3260073260071,1342,41.601971190295686,24.037322544785226,187,-1,99
35,266,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259793,499354,2029632.8125,1751027250894.719,2535,3692,2471,1810.2564102564102,1342,41.601971190295686,24.037322544785226,187,-1,99
36,274,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259794,499610,2029640.625,1751027250902.5315,2516,3664.3282051282049,2436,1784.6153846153845,1341,41.665148063781331,24.000874747143399,187,-1,99
37,282,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259795,499866,2029648.4375,1751027250910.344,2534,3690.5435897435896,2449,1794.1391941391939,1341,41.665148063781331,24.000874747143399,187,-1,99
38,290,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259796,500122,2029656.25,1751027250918.1565,2535,3692,2461,1802.9304029304028,1341,41.665148063781331,24.000874747143399,187,-1,99
39,298,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259797,500378,2029664.0625,1751027250925.969,2535,3692,2468,1808.0586080586079,1341,41.665148063781331,24.000874747143399,187,-1,99
40,305,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259798,500634,2029671.875,1751027250933.7815,2536,3693.45641025641,2467,1807.3260073260071,1341,41.665148063781331,24.000874747143399,187,-1,99
41,313,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259799,500890,2029679.6875,1751027250941.594,2533,3689.0871794871791,2465,1805.8608058608058,1341,41.665148063781331,24.000874747143399,187,-1,99
42,321,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259800,501146,2029687.5,1751027250949.4065,2535,3692,2470,1809.5238095238094,1341,41.665148063781331,24.000874747143399,187,-1,99
43,329,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259801,501402,2029695.3125,1751027250957.219,2535,3692,2473,1811.7216117216117,1340,41.728517110266168,23.964426949501572,187,-1,99
44,337,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259802,501658,2029703.125,1751027250965.0315,2535,3692,2474,1812.4542124542124,1340,41.728517110266168,23.964426949501572,187,-1,99
45,345,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259803,501914,2029710.9375,1751027250972.844,2533,3689.0871794871791,2469,1808.7912087912086,1340,41.728517110266168,23.964426949501572,187,-1,99
46,352,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259804,502170,2029718.75,1751027250980.6565,2535,3692,2472,1810.9890109890109,1340,41.728517110266168,23.964426949501572,187,-1,99
47,360,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259805,502426,2029726.5625,1751027250988.469,2535,3692,2474,1812.4542124542124,1340,41.728517110266168,23.964426949501572,187,-1,99
48,368,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259806,502682,2029734.375,1751027250996.2815,2535,3692,2475,1813.186813186813,1339,41.792079207920807,23.927979151859741,187,-1,99
49,376,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259807,502938,2029742.1875,1751027251004.094,2533,3689.0871794871791,2469,1808.7912087912086,1339,41.792079207920807,23.927979151859741,187,-1,99
50,384,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259808,503194,2029750,1751027251011.9065,2535,3692,2473,1811.7216117216117,1339,41.792079207920807,23.927979151859741,187,-1,99
51,391,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259809,503450,2029757.8125,1751027251019.719,2535,3692,2474,1812.4542124542124,1339,41.792079207920807,23.927979151859741,187,-1,99
52,399,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259810,503706,2029765.625,1751027251027.5315,2535,3692,2475,1813.186813186813,1339,41.792079207920807,23.927979151859741,187,-1,99
53,407,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259811,503962,2029773.4375,1751027251035.344,2534,3690.5435897435896,2470,1809.5238095238094,1338,41.855835240274608,23.891531354217918,187,-1,99
54,415,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259812,504218,2029781.25,1751027251043.1565,2535,3692,2472,1810.9890109890109,1338,41.855835240274608,23.891531354217918,187,-1,99
55,423,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259813,504474,2029789.0625,1751027251050.969,2536,3693.45641025641,2470,1809.5238095238094,1338,41.855835240274608,23.891531354217918,187,-1,99
56,430,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259814,504730,2029796.875,1751027251058.7815,2516,3664.3282051282049,2435,1783.8827838827838,1338,41.855835240274608,23.891531354217918,187,-1,99
57,438,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259815,504986,2029804.6875,1751027251066.594,2534,3690.5435897435896,2448,1793.4065934065932,1338,41.855835240274608,23.891531354217918,187,-1,99
58,446,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259816,505242,2029812.5,1751027251074.4065,2535,3692,2461,1802.9304029304028,1338,41.855835240274608,23.891531354217918,187,-1,99
59,454,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259817,505498,2029820.3125,1751027251082.219,2535,3692,2468,1808.0586080586079,1338,41.855835240274608,23.891531354217918,187,-1,99
60,462,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259818,505754,2029828.125,1751027251090.0315,2536,3693.45641025641,2467,1807.3260073260071,1337,41.919786096256693,23.855083556576091,187,-1,99
61,470,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259819,506010,2029835.9375,1751027251097.844,2533,3689.0871794871791,2465,1805.8608058608058,1337,41.919786096256693,23.855083556576091,182,328.125,99
62,477,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259820,506266,2029843.75,1751027251105.6565,2535,3692,2470,1809.5238095238094,1337,41.919786096256693,23.855083556576091,182,-1,99
63,485,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259821,506522,2029851.5625,1751027251113.469,2535,3692,2473,1811.7216117216117,1337,41.919786096256693,23.855083556576091,182,-1,99
64,493,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259822,506778,2029859.375,1751027251121.2815,2535,3692,2474,1812.4542124542124,1337,41.919786096256693,23.855083556576091,182,-1,99
65,501,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259823,507034,2029867.1875,1751027251129.094,2533,3689.0871794871791,2469,1808.7912087912086,1337,41.919786096256693,23.855083556576091,182,-1,99
66,509,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259824,507290,2029875,1751027251136.9065,2535,3692,2472,1810.9890109890109,1337,41.919786096256693,23.855083556576091,182,-1,99
67,516,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259825,507546,2029882.8125,1751027251144.719,2536,3693.45641025641,2470,1809.5238095238094,1337,41.919786096256693,23.855083556576091,182,-1,99
68,524,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259826,507802,2029890.625,1751027251152.5315,2535,3692,2473,1811.7216117216117,1336,41.983932670237188,23.818635758934263,182,-1,99
69,532,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259827,508058,2029898.4375,1751027251160.344,2533,3689.0871794871791,2468,1808.0586080586079,1337,41.919786096256693,23.855083556576091,182,-1,99
70,540,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259828,508314,2029906.25,1751027251168.1565,2535,3692,2472,1810.9890109890109,1336,41.983932670237188,23.818635758934263,182,-1,99
71,548,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259829,508570,2029914.0625,1751027251175.969,2535,3692,2474,1812.4542124542124,1336,41.983932670237188,23.818635758934263,182,-1,99
72,555,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259830,508826,2029921.875,1751027251183.7815,2535,3692,2475,1813.186813186813,1336,41.983932670237188,23.818635758934263,182,-1,99
73,563,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259831,509082,2029929.6875,1751027251191.594,2533,3689.0871794871791,2470,1809.5238095238094,1336,41.983932670237188,23.818635758934263,182,-1,99
74,571,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259832,509338,2029937.5,1751027251199.4065,2535,3692,2473,1811.7216117216117,1336,41.983932670237188,23.818635758934263,182,-1,99
75,579,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259833,509594,2029945.3125,1751027251207.219,2535,3692,2474,1812.4542124542124,1335,42.048275862068984,23.782187961292426,182,-1,99
76,587,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259834,509850,2029953.125,1751027251215.0315,2536,3693.45641025641,2471,1810.2564102564102,1336,41.983932670237188,23.818635758934263,182,-1,99
77,595,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259835,510106,2029960.9375,1751027251222.844,2532,3687.6307692307691,2462,1803.6630036630036,1335,42.048275862068984,23.782187961292426,182,-1,99
78,602,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259836,510362,2029968.75,1751027251230.6565,2535,3692,2468,1808.0586080586079,1335,42.048275862068984,23.782187961292426,182,-1,99
79,610,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259837,510618,2029976.5625,1751027251238.469,2534,3690.5435897435896,2467,1807.3260073260071,1335,42.048275862068984,23.782187961292426,182,-1,99
80,618,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259838,510874,2029984.375,1751027251246.2815,2536,3693.45641025641,2467,1807.3260073260071,1335,42.048275862068984,23.782187961292426,182,-1,99
81,626,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259839,511130,2029992.1875,1751027251254.094,2533,3689.0871794871791,2465,1805.8608058608058,1335,42.048275862068984,23.782187961292426,182,-1,99
82,634,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259840,511386,2030000,1751027251261.9065,2535,3692,2470,1809.5238095238094,1334,42.112816577129713,23.745740163650606,182,-1,99
83,641,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259841,511642,2030007.8125,1751027251269.719,2535,3692,2473,1811.7216117216117,1335,42.048275862068984,23.782187961292426,182,-1,99
84,649,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259842,511898,2030015.625,1751027251277.5315,2535,3692,2474,1812.4542124542124,1335,42.048275862068984,23.782187961292426,182,-1,99
85,657,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259843,512154,2030023.4375,1751027251285.344,2533,3689.0871794871791,2469,1808.7912087912086,1334,42.112816577129713,23.745740163650606,182,-1,99
86,665,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259844,512410,2030031.25,1751027251293.1565,2535,3692,2473,1811.7216117216117,1334,42.112816577129713,23.745740163650606,182,-1,99
87,673,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259845,512666,2030039.0625,1751027251300.969,2535,3692,2474,1812.4542124542124,1334,42.112816577129713,23.745740163650606,182,-1,99
88,680,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259846,512922,2030046.875,1751027251308.7815,2536,3693.45641025641,2471,1810.2564102564102,1334,42.112816577129713,23.745740163650606,182,-1,99
89,688,SlideEvents,StartMedia,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,Shimmer 569430 A1B9 GSR,259847,513178,2030054.6875,1751027251316.594,2532,3687.6307692307691,2462,1803.6630036630036,1334,42.112816577129713,23.745740163650606,182,-1,99
90,696,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259848,513434,2030062.5,1751027251324.4065,2536,3693.45641025641,2464,1805.1282051282051,1334,42.112816577129713,23.745740163650606,182,-1,99
91,704,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259849,513690,2030070.3125,1751027251332.219,2535,3692,2470,1809.5238095238094,1334,42.112816577129713,23.745740163650606,182,-1,99
92,712,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259850,513946,2030078.125,1751027251340.0315,2536,3693.45641025641,2468,1808.0586080586079,1334,42.112816577129713,23.745740163650606,-1,-1,99
93,720,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259851,514202,2030085.9375,1751027251347.844,2533,3689.0871794871791,2466,1806.5934065934064,1334,42.112816577129713,23.745740163650606,-1,-1,99
94,727,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259852,514458,2030093.75,1751027251355.6565,2535,3692,2470,1809.5238095238094,1333,42.177555726364339,23.709292366008782,-1,-1,99
95,735,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259853,514714,2030101.5625,1751027251363.469,2534,3690.5435897435896,2468,1808.0586080586079,1333,42.177555726364339,23.709292366008782,-1,-1,99
96,743,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259854,514970,2030109.375,1751027251371.2815,2536,3693.45641025641,2467,1807.3260073260071,1333,42.177555726364339,23.709292366008782,-1,-1,99
97,751,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259855,515226,2030117.1875,1751027251379.094,2533,3689.0871794871791,2465,1805.8608058608058,1333,42.177555726364339,23.709292366008782,-1,-1,99
98,759,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259856,515482,2030125,1751027251386.9065,2536,3693.45641025641,2466,1806.5934065934064,1333,42.177555726364339,23.709292366008782,-1,-1,99
99,766,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259857,515738,2030132.8125,1751027251394.719,2536,3693.45641025641,2466,1806.5934065934064,1333,42.177555726364339,23.709292366008782,-1,-1,99
100,774,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259858,515994,2030140.625,1751027251402.5315,2536,3693.45641025641,2467,1807.3260073260071,1333,42.177555726364339,23.709292366008782,-1,-1,99
101,782,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259859,516250,2030148.4375,1751027251410.344,2532,3687.6307692307691,2460,1802.197802197802,1333,42.177555726364339,23.709292366008782,-1,-1,99
102,790,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259860,516506,2030156.25,1751027251418.1565,2535,3692,2467,1807.3260073260071,1332,42.242494226327949,23.672844568366951,-1,-1,99
103,798,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259861,516762,2030164.0625,1751027251425.969,2535,3692,2471,1810.2564102564102,1333,42.177555726364339,23.709292366008782,-1,-1,99
104,805,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259862,517018,2030171.875,1751027251433.7815,2536,3693.45641025641,2469,1808.7912087912086,1332,42.242494226327949,23.672844568366951,-1,-1,99
105,813,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259863,517274,2030179.6875,1751027251441.594,2532,3687.6307692307691,2461,1802.9304029304028,1332,42.242494226327949,23.672844568366951,-1,-1,99
106,821,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259864,517530,2030187.5,1751027251449.4065,2536,3693.45641025641,2464,1805.1282051282051,1332,42.242494226327949,23.672844568366951,-1,-1,99
107,829,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259865,517786,2030195.3125,1751027251457.219,2535,3692,2469,1808.7912087912086,1332,42.242494226327949,23.672844568366951,-1,-1,99
108,837,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259866,518042,2030203.125,1751027251465.0315,2536,3693.45641025641,2468,1808.0586080586079,1332,42.242494226327949,23.672844568366951,-1,-1,99
109,845,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259867,518298,2030210.9375,1751027251472.844,2532,3687.6307692307691,2460,1802.197802197802,1332,42.242494226327949,23.672844568366951,-1,-1,99
110,852,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259868,518554,2030218.75,1751027251480.6565,2535,3692,2467,1807.3260073260071,1332,42.242494226327949,23.672844568366951,-1,-1,99
111,860,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259869,518810,2030226.5625,1751027251488.469,2533,3689.0871794871791,2466,1806.5934065934064,1332,42.242494226327949,23.672844568366951,-1,-1,99
112,868,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259870,519066,2030234.375,1751027251496.2815,2536,3693.45641025641,2466,1806.5934065934064,1331,42.307632999229007,23.636396770725121,-1,-1,99
113,876,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259871,519322,2030242.1875,1751027251504.094,2533,3689.0871794871791,2465,1805.8608058608058,1332,42.242494226327949,23.672844568366951,-1,-1,99
114,884,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259872,519578,2030250,1751027251511.9065,2535,3692,2470,1809.5238095238094,1332,42.242494226327949,23.672844568366951,-1,-1,99
115,891,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259873,519834,2030257.8125,1751027251519.719,2536,3693.45641025641,2469,1808.7912087912086,1331,42.307632999229007,23.636396770725121,-1,-1,99
116,899,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259874,520090,2030265.625,1751027251527.5315,2535,3692,2472,1810.9890109890109,1331,42.307632999229007,23.636396770725121,-1,-1,99
117,907,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259875,520346,2030273.4375,1751027251535.344,2532,3687.6307692307691,2462,1803.6630036630036,1331,42.307632999229007,23.636396770725121,-1,-1,99
118,915,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259876,520602,2030281.25,1751027251543.1565,2535,3692,2469,1808.7912087912086,1331,42.307632999229007,23.636396770725121,-1,-1,99
119,923,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259877,520858,2030289.0625,1751027251550.969,2535,3692,2472,1810.9890109890109,1331,42.307632999229007,23.636396770725121,-1,-1,99
120,930,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259878,521114,2030296.875,1751027251558.7815,2536,3693.45641025641,2469,1808.7912087912086,1330,42.372972972972988,23.599948973083293,-1,-1,99
121,938,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259879,521370,2030304.6875,1751027251566.594,2532,3687.6307692307691,2462,1803.6630036630036,1331,42.307632999229007,23.636396770725121,-1,-1,99
122,946,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259880,521626,2030312.5,1751027251574.4065,2535,3692,2468,1808.0586080586079,1331,42.307632999229007,23.636396770725121,-1,-1,99
123,954,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259881,521882,2030320.3125,1751027251582.219,2535,3692,2472,1810.9890109890109,1330,42.372972972972988,23.599948973083293,-1,-1,99
124,961,,,,,,,Bluetooth Low Energy Polar Verity Sense E990B025 HeartRate,106,0,-1,-1,,,,,,,,,,,,,,,
125,962,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259882,522138,2030328.125,1751027251590.0315,2536,3693.45641025641,2469,1808.7912087912086,1330,42.372972972972988,23.599948973083293,-1,-1,99
126,970,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259883,522394,2030335.9375,1751027251597.844,2532,3687.6307692307691,2461,1802.9304029304028,1330,42.372972972972988,23.599948973083293,-1,-1,99
127,977,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259884,522650,2030343.75,1751027251605.6565,2535,3692,2468,1808.0586080586079,1330,42.372972972972988,23.599948973083293,-1,-1,99
128,985,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259885,522906,2030351.5625,1751027251613.469,2534,3690.5435897435896,2466,1806.5934065934064,1330,42.372972972972988,23.599948973083293,-1,-1,99
129,993,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259886,523162,2030359.375,1751027251621.2815,2536,3693.45641025641,2467,1807.3260073260071,1330,42.372972972972988,23.599948973083293,-1,-1,99
130,1001,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259887,523418,2030367.1875,1751027251629.094,2532,3687.6307692307691,2460,1802.197802197802,1330,42.372972972972988,23.599948973083293,-1,-1,99
131,1009,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259888,523674,2030375,1751027251636.9065,2535,3692,2467,1807.3260073260071,1329,42.438515081206504,23.56350117544147,-1,-1,99
132,1016,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259889,523930,2030382.8125,1751027251644.719,2534,3690.5435897435896,2466,1806.5934065934064,1330,42.372972972972988,23.599948973083293,-1,-1,99
133,1024,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259890,524186,2030390.625,1751027251652.5315,2535,3692,2471,1810.2564102564102,1329,42.438515081206504,23.56350117544147,-1,-1,99
134,1032,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259891,524442,2030398.4375,1751027251660.344,2532,3687.6307692307691,2462,1803.6630036630036,1329,42.438515081206504,23.56350117544147,-1,-1,99
135,1040,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259892,524698,2030406.25,1751027251668.1565,2535,3692,2469,1808.7912087912086,1329,42.438515081206504,23.56350117544147,-1,-1,99
136,1048,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,259893,524954,2030414.0625,1751027251675.969,2535,3692,2472,1810.9890109890109,1329,42.438515081206504,23.56350117544147,-1,-1,99
